basin_name,location,SUB_REGIME_GROUP,SUB_REGIME,PET_SYS_STATUS
South Sumatra,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent) with Inversion,Producing fields
Moesian Platform,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Karkinitsk,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Producing fields
Indolo-Kuban,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Pontides,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Predobrogea,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Northern Apennines,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Panjang,Onshore & Offshore,Divergent Basin,Post-rift Sag,Unknown
Pattani,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Sabah - Baram Delta,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Sarawak - Luconia - East Natuna,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Bengal Delta Sub-basin - Bengal,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Cauvery,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Mahanadi,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Seychelles Bank,Onshore & Offshore,Divergent Basin,Passive Margin,Minor shows in wells
Cap St. Marie,Onshore & Offshore,Divergent Basin,Passive Margin,Unproven
Wanganui,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Unknown
Tela,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Unproven
Salaverry - Trujillo,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Significant shows
Salton Trough,Onshore & Offshore,Wrench Basin,Intracratonic Wrench,Unproven
Talara,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Producing fields
Polda,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Unproven
Vizcaino,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Minor shows in wells
Maryborough,Onshore & Offshore,Divergent Basin,Post-rift Sag,Unknown
Solander,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Significant shows
Esmeraldas - Manabi,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Minor shows in wells
Borbon,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Minor shows in wells
Niger Delta,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
West Hainan,Onshore & Offshore,Divergent Basin,Post-rift Sag,Discoveries
Kronprins Christian,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Tripura - Cachar Foldbelt - Bengal,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Trinidad,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Producing fields
Douala,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Southern Arctic Islands,Onshore & Offshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Unproven
North Greenland,Onshore & Offshore,Wrench Basin,Intracratonic Wrench,Unknown
Hope,Onshore & Offshore,Divergent Basin,Rift,Unproven
Baffin Bay,Onshore & Offshore,Divergent Basin,Passive Margin,Unproven
Beibu Gulf,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Pearl River Mouth,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Subei - Yellow Sea,Onshore & Offshore,Divergent Basin,Rift,Producing fields
Taiwan,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Producing fields
West Korea,Onshore & Offshore,Divergent Basin,Post-rift Sag,Discoveries
Yenisey - Khatanga,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Producing fields
Somali - Ogaden - Mandera Lugh,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Southern Gulf of Aden,Onshore & Offshore,Divergent Basin,Passive Margin,Minor shows in wells
Anadyr,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Discoveries
Central Kamchatka,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),Unknown
East Kamchatka,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unknown
Kuril,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Post-extensional Sag (Ocean - Continent),Unproven
Penzhina,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Unproven
Arafura,Onshore & Offshore,Divergent Basin,Passive Margin,Significant shows
Bonaparte,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Canning,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
North Carnarvon,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Central Sub-basin - West Siberia,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
East Barents Sea,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Azua,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Producing fields
Cibao,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Minor shows in wells
Falcon,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),Producing fields
Morondava,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Central Cuba,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Producing fields
East Cuba,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Absent
East Gulf Coast Tertiary,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
North Cuba,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Peten,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
South Florida,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Tampa,Onshore & Offshore,Divergent Basin,Passive Margin,Absent
Veracruz,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
West Cuba,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Absent
West Gulf Coast Tertiary,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Yucatan Platform,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Gulf of Suez,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Jiza' - Qamar,Onshore & Offshore,Divergent Basin,Passive Margin,Minor shows in wells
Mogadishu - Somali Coastal,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Sayhut,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Southern Aegean,Onshore & Offshore,Divergent Basin,Rift,Hydrocarbon seeps
Thrace,Onshore & Offshore,Convergent (Continent-Continent) Basin,Intramontane Wrench (Continent - Continent),Producing fields
Antalya,Onshore & Offshore,Convergent (Continent-Continent) Basin,Late to Post-orogenic Extension (Continent - Continent),Minor shows in wells
Enderby,Onshore & Offshore,Divergent Basin,Passive Margin,
Gulf of Cadiz,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Sibari - Crotone,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Galicia,Onshore & Offshore,Divergent Basin,Passive Margin,
Cantabrian,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Southern North Sea - Anglo-Dutch,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Skagerrak - Kattegat,Onshore & Offshore,Divergent Basin,Post-rift Sag,Unproven
Tyrrhenian Sea - Tuscany,Onshore & Offshore,Divergent Basin,Passive Margin,
North Celtic Sea,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Bristol Channel - South Wales Coal,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Suruga,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Bristol Bay - North Aleutian,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Hudson Bay,Onshore & Offshore,Divergent Basin,Intracratonic Sag,
Channel Islands,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Lincoln Sea,Onshore & Offshore,Divergent Basin,Passive Margin,
Santa Maria,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Bowers,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),
Mezen,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Toyama,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Weber,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Albatross,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
St. George,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Bicol Shelf,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Eastern,Onshore & Offshore,Divergent Basin,Post-rift Sag,
New Ireland,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Shelikof,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Cotabato,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Bethel,Onshore & Offshore,Divergent Basin,Rift,
Fiji,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Arc-related Wrench (Ocean - Ocean),
Stevenson,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Gulf of California,Onshore & Offshore,Wrench Basin,Intracratonic Wrench,Hydrocarbon seeps
Queen Charlotte,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Bellingham,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
North Palawan,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Jiao Liao,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Aleutian Trench,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Big Bay - Cumberland,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Arc-related Wrench (Ocean - Ocean),
Toki,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Amundsen,Onshore & Offshore,Divergent Basin,Passive Margin,
Gulf of Alaska Trench,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Quebec,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Northland,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Loyalty,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Cagayan,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Purisima - Iray,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Unproven
Laura,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Unknown
Visayan - Iloilo - Masbate,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Coronado,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),Unknown
Yamato,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Eel River,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Aleutian,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Retro-arc Extensional (Ocean - Ocean),
Graham,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Bougainville,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Japan,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Tugidak,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Angmagssalik,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Agusan - Davao,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Arc-related Wrench (Ocean - Ocean),
Kanto,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Blake Plateau,Onshore & Offshore,Divergent Basin,Passive Margin,Unproven
West Coast,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Significant shows
Tempoku,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Okinawa Trough,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Bellingshausen,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Anticosti,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Producing fields
La Honda,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Mindoro,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Bodega,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Tsushima,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Georgia,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Woodlark Rise,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Moscow,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Kitakami,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Sanak,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Niigata,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),
Norton,Onshore & Offshore,Divergent Basin,Rift,
Ryukyu Fore-arc,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Queen Maud,Onshore & Offshore,Divergent Basin,Passive Margin,
Qinzhou,Onshore & Offshore,Divergent Basin,Rift,
Anderson,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),
Tehuantepec,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),Hydrocarbon seeps
Tobago,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Discoveries
Tanimbar,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Otway,Onshore & Offshore,Divergent Basin,Passive Margin with Inversion,Producing fields
Carpentaria,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Unknown
Cuu Long,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Reconcavo,Onshore & Offshore,Divergent Basin,Intracratonic Sag,Producing fields
Salado,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
San Jorge,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Santos,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Orange,Onshore & Offshore,Divergent Basin,Passive Margin,Discoveries
Valdes,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Bahia Norte,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Indus,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Producing fields
Colorado,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
Espirito Santo,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Gabon,Onshore & Offshore,Divergent Basin,Passive Margin,Producing fields
Pelotas,Onshore & Offshore,Divergent Basin,Passive Margin,Unproven
Pernambuco - Paraiba,Onshore & Offshore,Divergent Basin,Passive Margin,Unknown
North Minch,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Moray Firth,Onshore & Offshore,Divergent Basin,Post-rift Sag,Discoveries
Iberian Range,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Guadalquivir,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Betic Cordillera,Onshore & Offshore,Convergent (Continent-Continent) Basin,Syn-orogenic Extensional (Continent - Continent),
Valencia Trough,Onshore & Offshore,Divergent Basin,Passive Margin,
Cheshire - Worcester,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Gulf of Lion,Onshore & Offshore,Divergent Basin,Passive Margin,
Balearic,Onshore & Offshore,Divergent Basin,Passive Margin,
Northumberland - Solway,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Ebro,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),
Northwest German,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Southeast France,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Mid-Polish Trough,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Kish Bank,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Malin,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Norwegian - Danish,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Sea of Hebrides,Onshore & Offshore,Divergent Basin,Post-rift Sag,
Miyazaki,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Sacramento,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
West Luzon,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
West Washington and Oregon,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Arc-related Wrench (Ocean - Continent),
Tofino,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),
Point Arena,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),
Luzon - Ilocos Trough,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc (Ocean - Ocean),
Taranaki,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent),Producing fields
Bass,Onshore & Offshore,Divergent Basin,Post-rift Sag with Inversion,Producing fields
East Coast,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Significant shows
Atlas,Onshore & Offshore,Convergent (Continent-Continent) Basin,Syn-orogenic Extensional (Continent - Continent),Producing fields
Sirte,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Banggai Sula,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Discoveries
Irian Arafura,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Significant shows
Lariang,Onshore & Offshore,Convergent (Continent-Continent) Basin,Peripheral Foreland (Continent - Continent),Unproven
Papuan,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Salawati,Onshore & Offshore,Wrench Basin,Wrench (Ocean - Continent),Producing fields
Viqueque,Onshore & Offshore,Convergent (Ocean-Ocean) Basin,Fore-arc with Piggyback (Ocean - Ocean),Discoveries
Halmahera,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Extensional (Ocean - Continent) with Inversion,Unknown
Kai - Aru Trough,Onshore & Offshore,Divergent Basin,Rift,Unknown
Arakan,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Discoveries
Bac Bo - Yinggehai,Onshore & Offshore,Divergent Basin,Post-rift Sag,Producing fields
Central Myanmar Tertiary,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Retro-arc Foreland (Ocean - Continent),Producing fields
Carolina Trough,Onshore & Offshore,Divergent Basin,Passive Margin,Unproven
Sydney (Newfoundland),Onshore & Offshore,Divergent Basin,Post-rift Sag,
Ile St. Marie,Onshore & Offshore,Divergent Basin,Passive Margin,Minor shows in wells
Northeast Gulf Salt,Onshore & Offshore,Divergent Basin,Passive Margin,
Arauco Lebu,Onshore & Offshore,Convergent (Ocean-Continent) Basin,Fore-arc (Ocean - Continent),Minor shows in wells
Victoria Land,Onshore & Offshore,Divergent Basin,Post-rift Sag,
